name,category,subcategory,website,url,description,contact_person,email,phone,location
AVRGE,360 Video & Photo,360 Video,http://www.avrge.com/,http://www.vrmeister.com/avrge/,"AVRGE is a highly specialized company in developing 360º video, Augmented Reality and Virtual Reality solutions.
We build digital immersive Augmented- and Virtual Reality environments around any product and develop these experiences with the most advanced technology.
The only limit is your own fantasy!
 ",Mitchell de Mol,business@avrge.com,,the Netherlands
,360 Video & Photo,360 Video,,http://www.vrmeister.com/360-video-photo/#,,,,,
StitchedUp VR,360 Video & Photo,360 Video,http://www.stitchedupvr.com/,http://www.vrmeister.com/stitchedup-vr/,StitchedUp VR is a Shanghai-based VFX company specialising in 360 VR video post-production and stitching services.,Stefan Innerhofer,stefan@stitchedupvr.com,,Shanghai
BIVROST – VR Video Technologies,360 Video & Photo,360 Video,http://bivrost360.com/,http://www.vrmeister.com/bivrost-vr-video-technologies/,"BIVROST™ is an European manufacturer of 360° video capturing gear, often used for live 360° streaming and cinematic VR video production. BIVROST™ develops a complete set of tools enabling the production and experience of the stereoscopic video in 360° format, including professional camera rigs, power and control management utilities, (live) stitching software, VR video players.
In 2015 BIVROST™ joined the OSVR consortium, supporting community with video players (for Oculus Rift, HTC Vive, OSVR-compatible headsets).
Bivröst in Nordic mythology is a mystic land bridge connecting a simple world of humans with an unreachable magical world of Gods. We are convinced that the cinematic VR starts a revolution in the very experience of reality.
And that BIVROST™ becomes a significant part of this profound change.",Alina Jaworska,alina.jaworska@bivrost360.com,,Warsaw Poland
sphvre – global vision,360 Video & Photo,360 Video,http://www.sphvre.net/,http://www.vrmeister.com/sphvre-global-vision/,"@ sphvre we choreograph 360° immersive media.
We use sophisticated process from our collaborative experience in TV broadcast, film, touring & entertainment, content management, new media technologies & advertising to produce & build exceptional 360° immersive media
We’re a Wellington New Zealand based company with presence in Auckland, Queenstown & Melbourne & a reach throughout Australasia, Asia, the Pacific & beyond…
sphvre produce experiential 360° media, VR/AR & 2D content, graphics, animation & immersive media from concept through design to capture, post & delivery.",Joff Rae – Producer,info@sphvre.net,+64 4 393 5633,New Zealand & Australia
360 Exploration,360 Video & Photo,360 Video,http://360exploration.wix.com/home,http://www.vrmeister.com/360-exploration/,"  “Where the journey has just begun.”
Welcome to 360 Exploration where we explore the world of VR intergrated with our world.
See stunning places in beautiful 4K quality.
See places that no man can walk to, experience the concert of a lifetime, and see nature at it’s finest.
Technology, filmography, and photography have never been this great.
So strap on your headsets, check out our website and our Youtube channel that is listed on our website.
Let’s just have a blast exploring VR.",Michael Abbott,360exploration@gmail.com,828-215-2864,North Carolina
VRCONTENT.io,360 Video & Photo,360 Video,http://vrcontent.io/,http://www.vrmeister.com/vrcontent-io/,"VIRTUAL REALITY & 360 VIDEO CONTENT AGGREGATOR AND LICENSOR
Helping Wireless Companies, MVNOs, HMD manufacturers and others achieve their business goals by aggregating VR and 360 Video Content in one central location.
VRCONTENT.io is the bridge between VR and 360 Video Content Creators and the businesses and organizations that need to develop or expand their content offering.
Providing access to a constantly updated catalog of VR content in all relevant and trending categories.  — Watch What We Do…",Linda Kruger,info@vrcontent.io,,United States
NexStreaming,360 Video & Photo,360 Video,http://www.nexstreaming.com/,http://www.vrmeister.com/nexstreaming/,"NexStreaming is the provider of NexPlayer360 SDK, the 360 degree player for video apps.
Compatible with iOS/Android, our leading HLS player solves the problem of device fragmentation delivering the best HD quality video and user experience across all devices with the most advanced feature set.
NexStreaming is a global mobile software company with Headquarters in Seoul (Korea) and branches in Spain, US, Taiwan, Japan and China with more than 230 premium video service providers as customers worldwide.",Julián Abad,julian.abad@nexstreaming.com,+34 914184356,"Madrid, Spain"
MK Media Group,360 Video & Photo,360 Video,http://www.mkmediagroup.tv/,http://www.vrmeister.com/mk-media-group/,"Actual proposal: 360VR video about Chernobyl catastrophe (26th of April, 1986)
MK Media Group includes 4 divisions:
1) Distributor MK-Distribution (all type of rights for TV content)
2) DMartProduction
3) Footagesotre
4) Digital Magazine SSTRnews
Among other content we propose VR360
Find reliable partner! Find MKMediaGroup!",Anna Verbovska,anna@mk-distribution.com,,Ukraine
Zita Films,360 Video & Photo,360 Video,http://www.zitafilms.com/,http://www.vrmeister.com/zita-films/,"We are a full service VR 360 & Flat Video Production Company based in Madrid & Brisbane
Also we offer profesional 360 trainings by spanish Kolor GoPro Certified Trainer , Pablo Ballester.",Pablo Ballester,info@zitafilms.com,34607813098,Madrid / Brisbane
Dark Pixels,360 Video & Photo,360 Video,http://www.dark-pixels.co.uk/,http://www.vrmeister.com/dark-pixels/,"We specialize in 360 degree video content production. As well as filming in this exciting new format, we are able to overlay motion graphics and branding into the 3D environment.
360 video is the exciting new video format that is quickly being adopted by the entertainment and corporate industries. The format is used by existing technologies including web browsers, tablets and smart phones.
You can now deliver an immersive environment to your customers onto devices which they already own. This removes the need for technology adoption.
The engagement for 360 video is high and will continue to increase as both Google (via YouTube) and Facebook have released support for the format.
We are able to offer more than simply filming in a 3D space, we can also overlay motion graphics, titles and branding. This enhances the virtual environment, allowing the consumer to engage with your content intuitively. Your branding will be retained whilst you present an enhanced experience over standard 360 degree videos.
This video can be placed on websites, emails and social media. It is easily digested and shareable.",Gillan Williams,gillan.williams@dark-pixels.co.uk,7414910452,"London, United Kingdom"
Day and Night Productions Pty Ltd,360 Video & Photo,360 Video,http://http//360panoramavideo.com/,http://www.vrmeister.com/day-night-productions-pty-ltd/,"Day and Night Productions Pty Ltd
Trading as 360 Panorama Video
360 Video production
360 Video post production",Lloyd Young,360panoramavideo@gmail.com,+61 (0)419447744,Australia
IMAGINE360,360 Video & Photo,360 Video,http://www.imagine360.marketing/,http://www.vrmeister.com/imagine360/,"Immersive, Interactive, Innovative.
Based in Montreal, we are worldwide leaders in Virtual Tours, Virtual Reality experiences and 360 Videos.
We are a multimedia organization creating the highest quality, most immersive and interactive experiences to capture and captivate your audience.
Our work is unique to the market here in Canada and abroad.
We want to spread our technological knowledge and services in the media and advertisement domains over all continents.",Wael Chanab,hello@imagine360.marketing,18883603633,"Montreal, Canada"
HoneyVR,360 Video & Photo,360 Video,http://www.honeyvr.com/,http://www.vrmeister.com/honeyvr/,"HoneyVR is considered as one of the leading immersive VR content creators and aggregators in the world.
Leveraging strong strategic partnerships with VR artists/studios from around the globe, the company is able to create and acquire top quality 360° VR content for a fraction of the standard cost of creation.
The company looks to monetize this content using their patent pending VR content distribution hardware.",Steven Austine,info@honeyvr.com,800-403-1360,"United States, Denver, Colorado"
Vixtu Technologies SL,360 Video & Photo,360 Video,http://www.vixtu.com/,http://www.vrmeister.com/vixtu-technologies-sl/,"Production and distribution of 3D interactive videos (health, surgery, mass events, industry)",Carlos Sanjuan,Csanjuan@vixtu.com,34616453977,"Barcelon, Spain"
Dithernet,360 Video & Photo,360 Video,http://www.dithernet.com/,http://www.vrmeister.com/dithernet/,"Application development in virtual reality.
Immersive video 360.",Didier THERY,contact@dithernet.com,33616538647,France
Orb VR Labs,360 Video & Photo,360 Video,http://www.orbvrlabs.com/,http://www.vrmeister.com/orb-vr-labs/,"Virtual Reality Content creation company based in Bangkok  with offices in Chiang Mai ,Thailand and Mumbai India.
Orb Vr Labs is  a full production team with  multiple camera  systems  and live  360 streaming  equipment for mobile live coverage of events .",Brynley Cadman,binc@orbvrlabs.com,66870054365,Thailand
Phasedrift Media,360 Video & Photo,360 Video,http://www.phasedrift.ca/,http://www.vrmeister.com/phasedrift-media/,"PhaseDrift Media creates stunning experiences that tell stories in a personal and engaging way. Our focus is to immerse the viewer in  360° VR experiences that match their vision and exceed expectations. We work with our clients closely to come up with creative and value based solutions to their business and personal project needs.
We create a wide variety of 360° VR videos that encompass commercial productions, virtual tours, music videos, on-line advertising, news, real estate, weddings, and more.
Viewing content in 360° VR produces a sense of engagement and intimacy that is not possible through conventional video.
PhaseDrift Media is a team of professionals made up of producers, photographers, computer programmers, videographers, editors, and technological enthusiasts. Our shared passion for creating unique content and experiences is what brought us together.
We draw from our diverse skill base to leverage the potential of 360° video and VR technologies.
 ",Sean Myers,hello@phasedrift.io,4036172926,"Canada, Calgary"
Twist Mobile,360 Video & Photo,360 Video,http://twistmobile.in/vr/vrhome.html,http://www.vrmeister.com/twist-mobile/,"We have developed complete end-to-end solution for Virtual Reality with Mobile 360 degree player and CMS.
This solution can help you to create white label virtual reality solution for your company",Virat Khutal,info@twistmobile.in,919301677855,India
Littlstar,360 Video & Photo,360 Video,http://littlstar.com/,http://www.vrmeister.com/littlstar/,"VR Cinema Network
Littlstar is a global network dedicated to immersive 360° video and photos.
Discover, watch, and share the best content on Virtual Reality devices, our native iOS and Android apps, and the web.
Mobile + HMD + Web
Littlstar’s VR and mobile apps are the best way to explore the world of immersive video and photos. Samsung Gear VR’s app store has our application front and center, so Gear VR owners can head there to grab it now.
Coming soon to Oculus Rift, Sony Morpheus, HTC Vive, Merge VR, and more.
Cameras + Game Engines
We support 360 content from cameras like Giroptic 360 Cam, GoPro 360, Ricoh Theta, VSN V.360, Jaunt, Google Jump, Nokia OZO, Bubl, Freedom 360, 360 Heroes, and Kodak SP360. We also accept 360 degree equirectangular exports from all 3D and game engines like Unity, Unreal, Cry Engine, Maya, V-Ray, Nuke, and more.",,info@littlstar.com,,The Netherlands
World of VR,360 Video & Photo,360 Video,http://www.worldofvr.net/,http://www.vrmeister.com/world-of-vr/,"World of VR was founded in November 2014 as a business Ltd. in Bonn, Germany. CEO und founder of World of VR is Timon Vielhaber.
World of VR specializes in Virtual Reality solutions from individual end users to large scale businesses. The current portfolio includes VR use cases for product and asset marketing, 360° photo and video event coverage as well as AR/VR interaction. The companies’ focus lies on delivering useful and exciting turnkey solutions as a single stop provider.
VRoggles is a low-cost personalized Virtual Reality viewer, produced and developed by World of VR Ltd. in Germany  for B2B scenarios with the end user in mind. VRoggles works with every modern smartphone and is highly inspired by USC’s FOV2Go and the Google Cardboard project.",Jens Epe (CTO),jens@worldofvr.net,+49 (221) 3014446-0,Germany
Virtual Reality Planet,360 Video & Photo,360 Video,http://www.virtual-reality-planet.com/,http://www.vrmeister.com/virtual-reality-planet/,"We are producing 360° videos!
We shoot the videos with at least six cameras, capturing footage simultaneously and then stitch the individual videos together.
The result is an immersive video which can be watched on YouTube or with a special head-mounted display (HMD) such as Oculus Rift, Samsung GearVR, Google Cardboard or any other HMD available on the market.",Chris Meyer,vr@virtual-reality-planet.com,493044717910,Germany
Pano-Ad,360 Video & Photo,360 Video,http://www.pano-ad.com.au/,http://www.vrmeister.com/pano-ad/,"PANO-AD creates virtual experiences of locations and events for a variety of industries with the use of 360° interactive media.
Our range of immersive media solutions includes Virtual Reality (VR) content creation/application development for Samsung Gear VR, Oculus Rift and Google Carboard, 360° video, customised virtual tours, Google Business View virtual tours as well as 360° product photography.
For enquiries, please contact us through details on our website.",Redmond Bunney,,,Australia
Capitola,360 Video & Photo,360 Video,http://capitola.nl/,http://www.vrmeister.com/capitola-digital/,"Capitola is an innovation driven agency embedding the latest ideas and technologies in campaigns and digital product development. An open space where coders and creatives are blending technology and creativity on the spot.
We don’t talk but prototype. That’s what keeps us and our clients ahead of the game.",,info@capitola.nl,+31 20 845 2965,The Netherlands
AutoPlay VR,360 Video & Photo,360 Video,http://autoplayvr.com/,http://www.vrmeister.com/autoplay-vr/,"HOW TO AUTOMAGICALLY PLAY VR ?
1 DOWNLOAD AUTOPLAYVR FOR FREE
2 CHOOSE ANY MOVIE OR PHOTO
In any size (90°, 180°,360°) any format (.mov, .mp4, etc.) any order (T/B, L/R)
2d or 3d, individual files or folders
  3 SIMPLY DRAG AND DROP THE FILES
Directly on the icon or in the AutoPlayVR video folder
  4 PUT YOUR HEADSET ON
In case of emergency, grab your mouse to change the settings or move to the next destination.",,,,France
DIVR Virtual Reality,360 Video & Photo,360 Video,http://www.divr.com.br/,http://www.vrmeister.com/divr-virtual-reality/,"DIVR (diver or Deep Immersive Virtual Reality) is a startup based on Sao Paulo – Brazil focused on telling stories through virtual reality.
We create CGI environments or make 360 degree videos for a lot of businesses: from Healthcare and Education to Real estate or Agencies.",Andre Torales,andre@divr.com.br,+55 11 9 7596 9663,Sao Paulo
360Heroes,360 Video & Photo,360 Video,http://www.360heros.com/,http://www.vrmeister.com/360heroes/,"Capture the world All Around You™
At 360Heros, our goal is to teach people about 360 video technology and to provide the knowledge, tools and support needed to create it. Whether you’re a professional producer or an eager hobbyist, our products, services and training will help you create fully spherical and immersive 360 video content.
Our diverse business model includes the production and sale of 360Heros Plug-N-Play Holders (AKA GoPro camera arrays) on-site 360 video production, 360 video post-production and 360 video hosting. Our hosting center allows producers to share their work with the world via our server, mobile 360 video player and free mobile apps.",,,(585) 376-0360,United States
We Make Vr,360 Video & Photo,360 Video,http://wemakevr.com/,http://www.vrmeister.com/we-make-vr/,"WeMakeVR is a pioneer in the world of Virtual Reality and has been creating VR-experiences since 2013. We want to bring you true moments of joy with the greatest virtual reality experiences. We created a revolutionary camera system to produce true immersive 3D films for virtual reality.
From now on you can be anywhere you want to be, any time you choose. We work with creative minds and great companies like Tommy Hilfiger, IBM and the Berliner Philharmoniker to further explore and develop the amazing opportunities virtual reality brings us. Please contact us for partnerships and great ideas. Let’s change the world together!
We invest a lot of time exploring news ways of storytelling, developing best practices, new technologies and workflows.
We produced the one of the world’s first fully stereoscopic-3D VR music video. Google’s Youtube team have internally ranked our VR-work among the best. At the same time we research and develop best practices for VR-storytelling and production techniques.
We also work with universities and support projects to research meaningful applications, such as educational experiences or ways to help elderly people explore the world. Our core goal is to bring people moments of joy, and Virtual Reality is our tool of choice.
The founders have more than 15 years experience in the international advertising industry and have worked for agencies such as 180, Wieden & Kennedy, and brands such as Nike, Adidas, and Coca Cola.
WeMakeVR works for agencies, brands and production companies.",,info@wemakevr.com,+31 20 775 33 33,"Amsterdam, The Netherlands"
360Serbia,360 Video & Photo,360 Video,http://www.360serbia.com/,http://www.vrmeister.com/360-serbia/,"360 Serbia is specialized in creating 360 VR content for clients in Serbia.
We produce 360 virtual tours, 360 videos and 360 rotating objects.
Also, we provide publishing on Google maps, views, 360cities, VisitWorld and embedding on customer websites.",NA,info@360serbia.com,NA,Serbia
Mutiny Media UK,360 Video & Photo,360 Video,http://mutinymedia.co.uk/,http://www.vrmeister.com/mutiny-media-uk/,"Mutiny Media are a full service production company based in Berwick Street, London. We offer production packages from pre to post.
What sets us apart is that we offer everything under one roof.
Kit, Crew and Post Production in our dedicated edit suite.
In house we have access to numerous VR rigs and setups and make use of Kolor Autopano Video Pro, Panotour and Autopano Giga.
Our edit suite also comprises of the full Adobe CC allowing us to export to Premiere / After Effects & Photoshop.
We offer equipment rental, dry or wet hire, and rental of our suite at competitive prices.",NA,production@mutinymedia.co.uk,0207 287 6690,United Kingdom
3GO Video,360 Video & Photo,360 Video,http://www.3govideo.com/,http://www.vrmeister.com/3go-video/,"We make 360 video production allowing people to feel and interact in spaces, concerts, weddings, sports, travels, and many more.
We create apps for viewing on Oculus Rift, Google Cardboard and web.
Watch the full Youtube Playlist ",Daniel Rojas Roa,GOCTO@3GOVideo.com,573114741800,Colombia
Dome3D LLC,360 Video & Photo,360 Video,http://dome3d.com/,http://www.vrmeister.com/dome3d-llc/,"Dome3D LLC is an award winning creative media and technology consulting company that provides immersive solutions for businesses worldwide.
We offer a number of services including: 360 / VR video production and publishing, VR hardware sales, certified Kolor 360 Video production training, fulldome content development and customized technology packages.",Matthew Mascheri,matt@dome3d.com,6306608239,United States
Kolor,360 Video & Photo,360 Video,http://www.kolor.com/,http://www.vrmeister.com/kolor/,"The good equipment + the best software: Kolor offers everything you need to shoot photos for panoramas and stitch them together automatically.
Discover how to create the best virtual tours using specific gear and dedicated software. Share your tours with the world over the Internet on all modern device
Everyone can feel they are there with 360-degree videos. With Kolor solutions, record and stitch several video streams to create awesome immersive videos.
Embark for the greatest panoramic journey with the Kolor Team
Founded in 2004 by Alexandre Jenny and Lionel Laissus, Kolor was the first company to perceive the potential of SIFT technology in the identification of interest points in an image, and created what would become the reference software in image stitching: Autopano. 10 years later, Kolor is now the world reference in panoramic imagery solutions, including panorama software, virtual tour software, video-stitching software and a full range of hardware products.
In 2015, Kolor joined GoPro to create the future of immersive media.
Human Hub
Central point where gather all forms of communications and in which Kolor decided to put the Human first.
Open-minded
It is our openness, among other things, that guided us and made us progress: a window on the world and technologies while maintaining a vision and a way of doing that is our own.
Passion
Since 2004 passion drives us. We shared it with our friends of our debut as we share it with today’s customers.
Community-driven
From enthusiast to casual users, anyone can take part in our growth, in the development of our products or in the improvement of our services.",NA,NA,NA,France
VRLive,360 Video & Photo,360 Video,http://www.vrlive.com/,http://www.vrmeister.com/vrlive/,"Our mission is to create, capture and broadcast VR/360 entertainment, sporting and other live events for today’s rapidly growing Virtual Reality audience around the world. Immersive, accesible, previously unattainable and live, VRLIVE provides the ultimate VR experiences
VRLIVE’s Live streaming solution plays up to 4K quality and up to 60 frames per second, broadcasting 3D/360 video across all VR headsets and digital devices
VRLIVE studios creates, captures and broadcasts live events in high quality VR from anywhere in the world. Whether sports, entertainment or other live events, no other VR company has the same capabilities or experience. Recently, VRLive has been broadcasting live fotm the legendary Roxy theater on the Sunset Strip in Hollywood, CA. Planss call for VRlive.tv to be the ultimate live VR broadcast network. VRLive studios are also exploring developments in streaming 3D VR and in proprietary payment solutions for VR events, pay per view, rentals and subscription.
VRLIVE production services can also provide white label VR solutions for third party companies, whether in entertainment, real estate, automotive or other genres, and can work creatively with those companies to develop VR strategies and executions. Recently VRLive has created and broadcast immersive VR videos featuring high end, real estate properties for Sothebys and others",NA,info@vrlive.tv,NA,United States
NextVR,360 Video & Photo,360 Video,http://www.nextvr.com/,http://www.vrmeister.com/nextvr/,"NextVR has developed a custom lens-to-lens system for capturing and delivering live and on-demand virtual reality experiences
in true broadcast quality.
More Than 23 Patents Granted and Pending for Virtual Reality Technology:
Content
Delivery
Transmission
Playback
With its patented technology, NextVR is the only company capable of transmitting live high definition, three-dimensional virtual reality content over the Internet delivering a completely immersive and life-like experience for the viewer.
 ",NA,hello@nextvr.com,+1 949 494 4321,United States
Jaunt,360 Video & Photo,360 Video,http://www.jauntvr.com/#about,http://www.vrmeister.com/jaunt-vr/,"Following more than two years of intensive research and development, we bring you a first look at Jaunt’s professional-grade stereographic
cinematic VR camera, codenamed “NEO.”
STEP INTO A WHOLE NEW WORLD OF ENTERTAINMENT.
With Jaunt™ cinematic VR, you will feel transported directly into the middle of the action. Look anywhere. See everything.
Our world-class team is creating next-generation technology for the most immersive entertainment experience ever.
  “Writing about the mindshock of live action VR is quite like trying to share a photograph of your favorite song… words simply cannot do it justice.” 
– Aaron Frank, Singularity University",NA,NA,NA,United States
Pro360VR,360 Video & Photo,360 Video,http://www.pro360vr.com/,http://www.vrmeister.com/pro360vr/,"We create high quality immersive virtual reality films that fully engage your audience.
We have multiple rigs that allow us to produce 360vr content in any situation from simple retail promotional VR films, aviation, automotive and marine  including Underwater VR, the possibilities are endless.
With a wealth of knowledge in producing corporate video and a dedicated team of experts we’re fully equipped to serve your requirements from filming through to delivery.",Jonny Simpson-Lee,hello@pro360vr.com,7867555427,United Kingdom
Opus VR,360 Video & Photo,360 Video,http://www.opusvr.com/,http://www.vrmeister.com/opus-vr/,"Virtual Reality – Made with Love in Hamburg
The Revolutionary VR-360°-Marketing-Tool for Real Estate & Architecture
We provide professional realtime 3D and virtual reality solutions for businesses worldwide with more than 20 years of experience.
Based on CAD (or other) data we generate photorealistic real time rendered pictures and videos from architecture, landscapes, cars, planes, ships, etc.
Users can experience our visualizations at any time and everywhere they want at their smartphones, TVs, tablets, desktops, and VR headsets.
“Opus VR created an extraordinary image quality and a truly immersive experience of our architecture in realtime – I can just say: wow!”
(Quote by a really impressed customer – summer 2015)",NA,NA,NA,Germany
Virtual Reality Hire,360 Video & Photo,360 Camera,http://www.virtualrealityhire.com/,http://www.vrmeister.com/virtual-reality-hire/,"The UK’s number 1 virtual reality equipment hire company. Specialist providers of virtual reality equipment for corporate events, trade shows, product launches and parties.",Steve,info@virtualrealityhire.com,1630695658,United Kingdom
Giroptic / 360cam,360 Video & Photo,360 Camera,http://us.360.tv/en/,http://www.vrmeister.com/giroptic-360cam/,"Based in Lille – France and San Francisco – USA, GIROPTIC specializes in 360° imaging technology.
Using a unique real-time image fusion process from multiple sensors, the GIROPTIC 360cam forever changes the way we capture and experience life around us. Up. Down. All Around.
 ",,,,United States
Autonomous / Teleport VR kit,360 Video & Photo,360 Camera,http://www.autonomous.ai/teleport-vr-kit,http://www.vrmeister.com/autonomous-teleport-vr-camera/,"Autonomous designs and manufactures everyday smart products. Autonomous currently produces the SmartDesk and the Personal Robot.
The company is located in New York, California, China, and Vietnam.
Currently on IndieGoGo:
Teleport VR Camera
Capture the greatest moments of your life in VR videos. Teleport VR Camera is a simple way to shoot high-definition VR videos on the go. Just plug in your phone and start shooting instantly – it’s that easy. 720p HD. Dual lens. Fits into your pocket.
Teleport VR Headset
Relive those great moments through the power of virtual reality. As soon as you put it on, you feel as though you’re actually there and experience those unforgettable living memories again. It’s like having a superpower.",,human@autonomous.ai,9097934235,United States
Motion Impossible,360 Video & Photo,360 Camera,http://www.motion-impossible.com/,http://www.vrmeister.com/motion-impossible/,Motion impossible make remote camera platforms for TV/Film & VR.,Rob Drewett,info@motion-impossible.com,1454227436,United Kingdom
SpeedVR,360 Video & Photo,360 Camera,http://www.speedvr.co.uk/,http://www.vrmeister.com/speedvr/,"SPEED VR – THE LONDON PRODUCTION & RENTAL HOUSE THAT SPECIALISES IN THE LATEST 360° VIRTUAL REALITY FILMING TECHNOLOGY, OFFERING A WIDE RANGE OF VR EQUIPMENT HIRE, PRODUCTION & POST-PRODUCTION SERVICES FOR CINEMA, BROADCAST AND ONLINE FORMATS.",Johnny Scott,contact@speedvr.co.uk,+44 (0)7341 977587,London UK
360Fly,360 Video & Photo,360 Camera,http://360fly.com/,http://www.vrmeister.com/360fly/,"About Us
At 360fly, we design and create 360° cameras and technology that inspire people to capture, share and experience their lives in immersive, interactive 360° video. Our passion and unrelenting pursuit of innovation have led us to redefine what is possible in video, virtual reality and visual storytelling.
Our History
360fly started up in a robotics lab out of Carnegie Mellon University. A technology once used for robots has quickly transformed into a technology we use to capture life’s most memorable moments.
From military training and aviation to stadium implosions and music videos we’ve captured it all.
In 2011, we launched the world’s first consumer 360 lens for iPhone- GoPano Micro, along with the world’s first 360 video sharing service, GoPano.com.
Today we’re building 360fly, a camera that captures everything, in all directions, without limits. See it all.",,,,United States
LucidCam,360 Video & Photo,360 Camera,http://lucidcam.com/,http://www.vrmeister.com/lucidcam/,"Introducing LucidCam
We believe in a world where everyone has access to the experiences of the few, where our ability to see the extraordinary is not limited by distance, physical ability, savings, or courage to chase the adventure.
LucidCam is a stereoscopic 3D camera which captures the world as you see and hear it. 180° wide-angle lenses enable an active view, and spacial audio enhances the experience.
SIMPLE TO USE FOR ANYONE
ONE button for everything. ONE central control for image capture, video capture, and setting manipulation makes your life simple.
SMALL TO TAKE ANYWHERE
SLIM to fit into any pocket. Compactness and portability allows you to wear, mount and carry LucidCam as easily as your smart phone.
SCALABLE TO CAPTURE ANYTHING
COMBINE multiple LucidCams to create video and image capture in full 360°. You decide if telling a story from a first-person or panorama view is right for you.
Free Lucidcam Player in the App Store or Google Play",,info@lucidcam.com,,United States
Lytro,360 Video & Photo,360 Camera,http://www.lytro.com/,http://www.vrmeister.com/lytro/,"Lytro is building the world’s most powerful Light Field imaging platform enabling artists, scientists and innovators to pursue their goals with an unprecedented level of freedom and control. This revolutionary technology will unlock new opportunities for photography, cinematography, mixed reality, scientific and industrial applications.
Lytro was founded in 2006 by Executive Chairman Ren Ng, whose Ph.D. research on Light Field imaging won Stanford University’s prize for best thesis in computer science. In 2012, Lytro released its first generation imaging platform featuring the world’s initial consumer Light Field camera. In 2014, the second-generation imaging platform was released featuring the Lytro ILLUM, Lytro Desktop, Lytro iOS Mobile Application and the Lytro Development Kit, empowering organizations beyond the domain of photography to harness the full potential of Light Field.
In 2015, Lytro announced its expansion into cinematography, virtual reality, and scientific and industrial applications, positioning itself as the hub of a new technology ecosystem that extends the transformational power of Light Field imaging across industries. The company also released significant updates for Lytro ILLUM and Lytro Power Tools, giving users direct access to explore Light Field via its existing products – an unprecedented move for a computational imaging company.
Based in Mountain View, CA, Lytro is backed by top-tier VCs including Andreessen-Horowitz, Greylock Partners and NEA and has built a world-class team and dynamic culture centered on innovation and collaboration.",,press@lytro.com,650-316-8888,United States
Purple Pill VR,360 Video & Photo,360 Camera,http://www.purplepillvr.com/,http://www.vrmeister.com/purple-pill-vr/,"Awestruck by the amazing beauty of the Bernini sculptures displayed in Villa Borghese in Rome, Thierry, one of the founders of Purple Pill, decided that everyone should be able to see these magnificent sights at least once in their life. This inspired him to search for ways to transport yourself to a different location and actually feeling present. VR was the answer, but all of the content was aimed at gaming. There were no immersive VR videos.
The main problem was the lack of available hardware to shoot such content, so Thierry started researching how to develop his own stereoscopic 360 camera system. This is when he asked his old friend Nick, who has several years of business experience, to join the team and start taking some serious steps towards the first camera prototype. We are now one of the first companies in the world able to produce realistic cinematic VR experiences and are continuously pushing this new medium to its absolute limits.
Besides being a production house for cinematic VR content, we are also developing tools and resources to help other VR video producers. So far we have developed file management software, brandable 360° video player apps, and even an in-depth video course. And there’s a lot more exciting stuff in the pipeline!",,nickkraakman@purplepillvr.com,+31 6 47844614,"Amsterdam, The Netherlands"
Panorics,360 Video & Photo,360 Camera,http://www.panorics.com/,http://www.vrmeister.com/panorics/,"Panorics develops 360-degree fully immersive video solutions and cameras for various industries including Virtual Reality, entertainment, real estate, travel etc.
  Some of the company’s products include:
PTRig  – an innovative 3-camera spherical video system
PX3 (pre-orders to be announced soon) – a 360 video camera with real-time streaming functionality for professional use
Consumer 360 video cameras for a variety of uses
 ",Alex Boch,info@panorics.com,+1 646 338 2386,United States
Bubl Technology Inc.,360 Video & Photo,360 Camera,http://www.bublcam.com/,http://www.vrmeister.com/bubl-technology-inc/,"Bubl Technology Inc. offers a complete solution for the creation of spherical media so that you can see the world from every angle.
At the centre of the Bubl ecosystem is the Bublcam, the world’s first consumer camera that provides the ability to capture fully spherical photos and videos and share them with anyone, anywhere.",NA,social@bublcam.com,416-583-3825,Toronto
Panono,360 Video & Photo,360 Camera,https://www.panono.com/home,http://www.vrmeister.com/panono/,"Panono GmbH develops and produces trend-setting digital cameras along with smartphone and tablet applications. Its first product is the Panono Camera.
Equipped with 36 individual cameras, the Panono captures 360° high-definition panoramas with both a horizontal and vertical field of view. An international patent for the Panono Camera is pending. Panono GmbH was founded in 2012 by Jonas Pfeil, Björn Bollensdorff and Qian Qin, and is based in Berlin, Germany.
PANONO – A WHOLE NEW WORLD OF PANORAMIC PHOTOGRAPHY
Panono is more than just a panoramic camera. The Panono Camera creates 100-megapixel panoramic shots with a 360° field of view – a total of 36 integrated cameras take a shot in every direction at once. And you’re right in the center of it all.
PANONO MAKES YOU SAY “WOW!”
Panono shots are fascinating. Take a journey with your friends through your favorite moments. The free Panono app enables you to navigate through your panoramic shots and share them at the touch of a button.
PANORAMIC PICTURES ON THE FLY
Shooting panoramas has never been easier: simply throw the Panono into the air. The cameras will automatically trigger at their highest point, giving you the perfect panoramic shot without ghosting effects. You can also hold the camera in your hand and use it manually, by pressing the button or remotely via the Panono app.",NA,NA,NA,Germany
